Date,Adjusted Closing Price
2022-08-01 00:00:00-04:00,297.27667236328125
2022-08-02 00:00:00-04:00,300.586669921875
2022-08-03 00:00:00-04:00,307.39666748046875
2022-08-04 00:00:00-04:00,308.6333312988281
2022-08-05 00:00:00-04:00,288.1700134277344
2022-08-08 00:00:00-04:00,290.42333984375
2022-08-09 00:00:00-04:00,283.3333435058594
2022-08-10 00:00:00-04:00,294.3566589355469
2022-08-11 00:00:00-04:00,286.6300048828125
2022-08-12 00:00:00-04:00,300.0299987792969
2022-08-15 00:00:00-04:00,309.32000732421875
2022-08-16 00:00:00-04:00,306.5633239746094
2022-08-17 00:00:00-04:00,303.9966735839844
2022-08-18 00:00:00-04:00,302.8699951171875
2022-08-19 00:00:00-04:00,296.6666564941406
2022-08-22 00:00:00-04:00,289.913330078125
2022-08-23 00:00:00-04:00,296.4533386230469
2022-08-24 00:00:00-04:00,297.0966796875
2022-08-25 00:00:00-04:00,296.07000732421875
2022-08-26 00:00:00-04:00,288.0899963378906
2022-08-29 00:00:00-04:00,284.82000732421875
2022-08-30 00:00:00-04:00,277.70001220703125
2022-08-31 00:00:00-04:00,275.6099853515625
2022-09-01 00:00:00-04:00,277.1600036621094
2022-09-02 00:00:00-04:00,270.2099914550781
2022-09-06 00:00:00-04:00,274.4200134277344
2022-09-07 00:00:00-04:00,283.70001220703125
2022-09-08 00:00:00-04:00,289.260009765625
2022-09-09 00:00:00-04:00,299.67999267578125
2022-09-12 00:00:00-04:00,304.4200134277344
2022-09-13 00:00:00-04:00,292.1300048828125
2022-09-14 00:00:00-04:00,302.6099853515625
2022-09-15 00:00:00-04:00,303.75
2022-09-16 00:00:00-04:00,303.3500061035156
2022-09-19 00:00:00-04:00,309.07000732421875
2022-09-20 00:00:00-04:00,308.7300109863281
2022-09-21 00:00:00-04:00,300.79998779296875
2022-09-22 00:00:00-04:00,288.5899963378906
2022-09-23 00:00:00-04:00,275.3299865722656
2022-09-26 00:00:00-04:00,276.010009765625
2022-09-27 00:00:00-04:00,282.94000244140625
2022-09-28 00:00:00-04:00,287.80999755859375
2022-09-29 00:00:00-04:00,268.2099914550781
2022-09-30 00:00:00-04:00,265.25
2022-10-03 00:00:00-04:00,242.39999389648438
2022-10-04 00:00:00-04:00,249.44000244140625
2022-10-05 00:00:00-04:00,240.80999755859375
2022-10-06 00:00:00-04:00,238.1300048828125
2022-10-07 00:00:00-04:00,223.07000732421875
2022-10-10 00:00:00-04:00,222.9600067138672
2022-10-11 00:00:00-04:00,216.5
2022-10-12 00:00:00-04:00,217.24000549316406
2022-10-13 00:00:00-04:00,221.72000122070312
2022-10-14 00:00:00-04:00,204.99000549316406
2022-10-17 00:00:00-04:00,219.35000610351562
2022-10-18 00:00:00-04:00,220.19000244140625
2022-10-19 00:00:00-04:00,222.0399932861328
2022-10-20 00:00:00-04:00,207.27999877929688
2022-10-21 00:00:00-04:00,214.44000244140625
2022-10-24 00:00:00-04:00,211.25
2022-10-25 00:00:00-04:00,222.4199981689453
2022-10-26 00:00:00-04:00,224.63999938964844
2022-10-27 00:00:00-04:00,225.08999633789062
2022-10-28 00:00:00-04:00,228.52000427246094
2022-10-31 00:00:00-04:00,227.5399932861328
2022-11-01 00:00:00-04:00,227.82000732421875
2022-11-02 00:00:00-04:00,214.97999572753906
2022-11-03 00:00:00-04:00,215.30999755859375
2022-11-04 00:00:00-04:00,207.47000122070312
2022-11-07 00:00:00-05:00,197.0800018310547
2022-11-08 00:00:00-05:00,191.3000030517578
2022-11-09 00:00:00-05:00,177.58999633789062
2022-11-10 00:00:00-05:00,190.72000122070312
2022-11-11 00:00:00-05:00,195.97000122070312
2022-11-14 00:00:00-05:00,190.9499969482422
2022-11-15 00:00:00-05:00,194.4199981689453
2022-11-16 00:00:00-05:00,186.9199981689453
2022-11-17 00:00:00-05:00,183.1699981689453
2022-11-18 00:00:00-05:00,180.19000244140625
2022-11-21 00:00:00-05:00,167.8699951171875
2022-11-22 00:00:00-05:00,169.91000366210938
2022-11-23 00:00:00-05:00,183.1999969482422
2022-11-25 00:00:00-05:00,182.86000061035156
2022-11-28 00:00:00-05:00,182.9199981689453
2022-11-29 00:00:00-05:00,180.8300018310547
2022-11-30 00:00:00-05:00,194.6999969482422
2022-12-01 00:00:00-05:00,194.6999969482422
2022-12-02 00:00:00-05:00,194.86000061035156
2022-12-05 00:00:00-05:00,182.4499969482422
2022-12-06 00:00:00-05:00,179.82000732421875
2022-12-07 00:00:00-05:00,174.0399932861328
2022-12-08 00:00:00-05:00,173.44000244140625
2022-12-09 00:00:00-05:00,179.0500030517578
2022-12-12 00:00:00-05:00,167.82000732421875
2022-12-13 00:00:00-05:00,160.9499969482422
2022-12-14 00:00:00-05:00,156.8000030517578
2022-12-15 00:00:00-05:00,157.6699981689453
2022-12-16 00:00:00-05:00,150.22999572753906
2022-12-19 00:00:00-05:00,149.8699951171875
2022-12-20 00:00:00-05:00,137.8000030517578
2022-12-21 00:00:00-05:00,137.57000732421875
2022-12-22 00:00:00-05:00,125.3499984741211
2022-12-23 00:00:00-05:00,123.1500015258789
2022-12-27 00:00:00-05:00,109.0999984741211
2022-12-28 00:00:00-05:00,112.70999908447266
2022-12-29 00:00:00-05:00,121.81999969482422
2022-12-30 00:00:00-05:00,123.18000030517578
